"","SHOT_CLOCK","SHOT_NUMBER","SHOT_DIST","SHOT_RESULT","TOUCH_TIME","PERIOD","PTS_TYPE","DRIBBLES","CLOSE_DEF_DIST"
"1",13.7,1,7,"missed",9.5,1,2,9,0.8
"2",15.2,2,5.4,"missed",7.9,1,2,8,2.5
"3",12.3,3,23.2,"made",5.6,1,3,0,3.5
"4",0,4,27.1,"missed",2,1,3,0,3.9
"5",20.8,5,3.1,"made",2.7,2,2,2,3.5
"6",16.2,6,5.7,"missed",8.3,2,2,7,0.2
"7",15.7,7,2.9,"made",0,2,2,0,1.3
"8",14.4,8,23.2,"missed",7,3,3,0,2.6
"9",21.3,9,23.9,"missed",1,3,3,0,7.5
"10",1.4,10,15.4,"made",2.6,3,2,1,4.7
"11",0,11,4.3,"made",17.3,3,2,18,2.2
"12",11.9,12,5.3,"missed",7.8,4,2,8,2.5
"13",9.1,13,3.3,"made",2.8,4,2,4,5.9
"14",2,14,25.9,"made",4.3,4,3,0,4.2
"15",2.9,15,26.8,"made",1.4,4,3,0,3.7
"16",1.5,16,2.6,"made",21.7,4,2,22,4.2
"17",10.6,1,14.8,"made",14.3,1,2,16,4.8
"18",8.2,2,19.8,"missed",4.9,1,2,2,3.3
"19",19.7,3,4.3,"made",6.7,1,2,9,0
"20",10.2,4,16.9,"made",10.1,1,2,8,4.6
"21",2.9,5,22.6,"missed",11.4,1,2,13,4.7
"22",20.2,6,10.3,"made",2.5,1,2,3,3.1
"23",11.5,7,2.9,"made",11.7,1,2,13,3.2
"24",9.6,8,7.9,"missed",14.2,1,2,14,3.1
"25",4.7,9,21.8,"made",10.1,2,2,3,4.2
"26",4.8,10,4.8,"missed",17.9,2,2,18,0
"27",4.2,11,4,"missed",0,2,2,0,0
"28",21.8,12,3.5,"made",2.2,2,2,1,0.7
"29",12.4,13,20,"missed",2.2,2,2,2,5.1
"30",16.5,14,5.7,"made",7.2,2,2,8,0
"31",21,15,2.1,"made",3.4,2,2,4,8.8
"32",0,16,41,"missed",1,2,3,0,15.8
"33",18.5,17,10.7,"missed",4.4,3,2,6,3.2
"34",4.1,18,2.1,"made",6,3,2,2,1
"35",20.5,19,5.6,"made",1.3,3,2,1,2.4
"36",18.6,20,1.2,"missed",1,3,2,0,6.7
"37",1.2,21,18.9,"made",5.1,3,2,4,4.9
"38",14.4,22,5.8,"missed",9.3,3,2,9,1.3
"39",8,23,16.6,"missed",10.4,3,2,4,4.3
"40",6.8,1,2.7,"made",3.9,1,2,3,1.1
"41",5.8,2,9.3,"missed",3.8,1,2,3,3.2
"42",7.4,3,4.3,"made",11.1,1,2,10,2
"43",22.5,4,5.8,"made",1.9,1,2,1,2.5
"44",4.5,5,25.1,"missed",19.1,1,3,18,4.7
"45",7.7,6,26,"made",2.7,2,3,0,5.7
"46",6.9,7,4.1,"made",7.9,2,2,1,2.1
"47",11,8,27.9,"missed",4,2,3,0,7.4
"48",21.3,9,7.7,"made",2.2,2,2,0,15.9
"49",13.7,10,12.8,"missed",2.3,2,2,0,2.4
"50",9,11,11.9,"made",12.4,2,2,12,4.2
"51",14.6,12,2.5,"missed",4.3,2,2,3,0.3
"52",5,13,7.4,"missed",2.2,2,2,0,1.8
"53",9.3,14,2.4,"missed",14.8,2,2,13,3.5
"54",0,15,25.9,"missed",11.8,2,3,6,4
"55",7.6,16,11,"missed",7.3,3,2,3,4
"56",8.3,17,25.6,"made",4.8,3,3,4,4.9
"57",15.3,18,25.3,"missed",7.9,3,3,7,7.1
"58",3.9,19,18.7,"made",7.9,3,2,6,4.9
"59",1.7,20,19.2,"made",12.3,3,2,13,4.2
"60",16.1,21,25.2,"made",7.6,3,3,6,4.8
"61",11.7,22,25.4,"missed",12.3,3,3,16,3.3
"62",19.9,23,2.2,"made",3.4,3,2,3,2.9
"63",5,24,10.9,"missed",17,3,2,17,3.3
"64",7.8,25,16,"made",8.7,4,2,6,4
"65",2.9,26,25.3,"missed",5.7,4,3,5,4
"66",14.8,27,6.4,"missed",8.7,4,2,9,2.6
"67",2.3,28,22.7,"made",15.7,4,2,6,3.6
"68",3.5,29,25.3,"missed",14.5,4,3,14,6.1
"69",1.5,30,1,"missed",22.5,4,2,18,0
"70",2,31,23.5,"missed",20,4,2,6,3.3
"71",1,32,3.2,"missed",23.3,5,2,24,1.4
"72",10.7,33,25.8,"missed",5.7,5,3,4,6.1
"73",6.2,34,5.6,"missed",17.7,5,2,18,3.1
"74",24,35,25.9,"made",1.2,5,3,0,12.8
"75",7.3,1,5.2,"made",8,1,2,4,2.2
"76",19.2,2,7.3,"missed",3.9,1,2,4,5.5
"77",19.5,3,8.1,"made",1.4,1,2,1,4.3
"78",11,4,7.5,"made",13.3,1,2,15,5.1
"79",14.6,5,3.2,"made",9.3,1,2,6,3.4
"80",11.2,6,22.9,"missed",6.3,2,2,2,4.2
"81",14.3,7,24.7,"made",8.4,2,3,6,9.3
"82",11.1,8,5.1,"made",0,2,2,0,2.1
"83",15,9,25.5,"made",4.5,2,3,6,4.1
"84",15.6,10,22.7,"made",6.8,3,2,8,3.9
"85",17.1,11,25.6,"missed",6.2,3,3,6,5
"86",3.9,12,21.3,"made",9.5,3,2,3,4.3
"87",17.3,13,24.9,"made",5.8,3,3,5,3
"88",18,14,31.1,"missed",1,3,3,0,5.2
"89",19.9,15,5.7,"missed",4.5,3,2,5,2
"90",7.1,16,19.2,"made",5.2,3,2,2,3.3
"91",13.1,17,24.9,"missed",3.8,3,3,2,2.8
"92",6.6,18,25.6,"made",14.8,3,3,16,6.3
"93",5.6,19,25.3,"missed",7.9,3,3,6,5.3
"94",21.1,20,3.7,"made",3.6,3,2,3,46.9
"95",2.1,21,4.9,"made",2.4,4,2,2,2.2
"96",2.3,22,23.1,"missed",6.8,4,2,1,3.9
"97",3.5,23,21.2,"missed",5.9,4,2,1,4.5
"98",1.6,24,6.2,"made",8.4,4,2,4,0.9
"99",4,25,26.5,"missed",20.1,4,3,21,4.6
"100",18,1,1.7,"made",4.1,1,2,2,2.2
"101",20.3,2,25.9,"missed",2.6,1,3,0,9.7
"102",20.8,3,7.8,"missed",3.6,1,2,5,3
"103",22,4,5.5,"made",2.2,1,2,1,33.3
"104",7.5,5,24.4,"missed",6.1,1,2,4,4.8
"105",18.4,6,3.2,"made",6.1,2,2,6,0.7
"106",0.7,7,34.7,"missed",2.6,3,3,0,3.9
"107",7.9,8,24.7,"missed",5.4,3,3,7,4.2
"108",20.2,9,9.5,"missed",3,3,2,3,1.4
"109",8.9,10,22.3,"missed",6.8,4,2,6,6.3
"110",17.3,11,3.6,"made",6.2,4,2,7,2.5
"111",2.8,12,27.9,"missed",1.8,4,3,1,6.1
"112",5.7,13,6,"made",18.3,4,2,21,3
"113",5.5,14,25.2,"made",10.8,4,3,12,4.3
"114",24,1,5,"made",3.3,1,2,1,14.7
"115",14.4,2,3.1,"made",0.7,1,2,0,0.9
"116",2.3,3,18.3,"made",8.3,1,2,4,3
"117",5.3,4,20.3,"missed",2.6,1,2,1,4.5
"118",22,5,4.8,"made",2.2,1,2,2,11.5
"119",0,6,25.5,"made",10.7,1,3,11,4.7
"120",18.3,7,24.5,"missed",3.5,2,3,3,8.4
"121",8.5,8,23.7,"missed",4.3,2,2,3,5.1
"122",3.7,9,26.5,"missed",7.9,2,3,5,4.6
"123",9,10,7.2,"missed",2.8,2,2,2,4.3
"124",8,11,7,"made",6.5,2,2,3,2.9
"125",0,12,41.9,"missed",0.7,2,3,0,1.9
"126",15.4,13,12.6,"missed",2.3,3,2,1,6
"127",4,14,23.7,"missed",3,3,3,0,4.3
"128",20,15,5,"made",2,3,2,1,2.7
"129",5,16,25.6,"missed",19.3,3,3,18,6.2
"130",12.8,17,5.6,"missed",7.8,3,2,10,2
"131",13.2,1,20.8,"missed",0.8,1,2,0,6
"132",24,2,2.8,"made",5,1,2,2,8.9
"133",12,3,4.2,"made",2.8,1,2,2,1
"134",19.5,4,18.7,"made",3,1,2,3,4.9
"135",11,5,15,"missed",5.8,1,2,1,5.5
"136",9.2,6,11.5,"made",5.2,1,2,3,3.9
"137",15,7,6.8,"missed",10.7,1,2,10,4.4
"138",19.9,8,3.8,"made",4.6,1,2,4,3.6
"139",0,9,26.3,"missed",20.9,1,3,14,2.7
"140",10,10,20.4,"missed",1.6,2,2,1,7.7
"141",22,11,6.5,"made",2.6,2,2,3,3
"142",8.4,12,25.9,"made",4,2,3,2,8.5
"143",16.2,13,25.7,"missed",2,2,3,1,5.6
"144",8.8,14,28.3,"made",1.2,3,3,0,7.5
"145",12.5,15,24.8,"made",0.7,3,3,0,5.6
"146",18.6,16,22.9,"missed",4.3,3,2,3,4.1
"147",6.6,17,17,"made",18,3,2,16,9.8
"148",13.8,18,9.5,"made",2.3,3,2,3,2.2
"149",13.9,19,7.1,"made",4.4,3,2,6,2.2
"150",12.7,20,11.5,"missed",12.6,3,2,11,2.8
"151",5.8,21,16.5,"missed",5.5,3,2,2,3.4
"152",24,1,14.4,"made",0,1,2,0,11.2
"153",10.8,2,25.3,"made",2,1,3,0,4.5
"154",17.5,3,25,"missed",1.2,1,3,0,4.4
"155",5.5,4,22.9,"missed",3.8,1,2,4,4.9
"156",15.3,5,4,"made",9,1,2,10,1.3
"157",0,6,28.6,"missed",3.4,1,3,7,4.9
"158",14,7,4.5,"made",9,2,2,11,1.6
"159",13.1,8,23.3,"made",5.2,2,2,2,3.3
"160",12.4,9,15.8,"missed",1.8,2,2,0,2.6
"161",7.3,10,20.9,"missed",2.3,2,2,0,3.2
"162",10,11,21.5,"missed",2,2,2,1,8.8
"163",9.9,12,25.4,"missed",1.1,2,3,1,9.2
"164",22.3,13,25.8,"missed",1,3,3,0,5.5
"165",18.2,14,3.5,"made",2.4,3,2,3,1.9
"166",15.3,15,2.9,"made",1.4,3,2,1,2.5
"167",13.7,16,10.4,"made",2.9,3,2,1,6.8
"168",16.7,17,19.5,"missed",6.3,3,2,6,6.5
"169",16.5,18,26.2,"made",7.8,3,3,9,5.4
"170",17.3,19,26.6,"missed",5.3,3,3,6,2.7
"171",14.1,20,11.6,"missed",10,4,2,10,4.1
"172",20,21,8.5,"made",3.7,4,2,4,1.8
"173",9.7,22,25.2,"missed",13.2,4,3,15,4.9
"174",14.8,23,21.7,"made",4,4,2,4,5.9
"175",3.4,24,23.7,"missed",12.2,4,2,14,5
"176",11.9,25,25,"missed",12.5,4,3,15,5.2
"177",21.5,26,5.1,"made",1.8,4,2,1,3.2
"178",3.4,1,6.7,"missed",11.3,1,2,6,1.7
"179",20.5,2,3.3,"made",0.8,1,2,0,2.8
"180",11.6,3,3.6,"made",12.8,1,2,15,1.4
"181",0,4,8.4,"missed",14.2,1,2,13,2.8
"182",21.7,5,20.7,"made",3.4,2,2,3,5
"183",19.4,6,5.7,"made",3.8,2,2,4,0.3
"184",18.6,7,4.8,"missed",5.1,2,2,6,3.4
"185",14.1,8,26.5,"missed",7.6,2,3,7,5.3
"186",15.2,9,3.4,"missed",3.4,2,2,3,0.9
"187",15.5,10,12.8,"missed",6.7,2,2,7,2.8
"188",4.2,11,28.9,"missed",0,2,3,0,4.1
"189",12.4,12,4.6,"made",2.8,3,2,3,1
"190",17.2,13,22.5,"made",6.9,3,2,10,5.2
"191",7.1,14,25.4,"missed",9.2,3,3,10,4.5
"192",1.2,15,36.8,"missed",2.5,4,3,3,4.9
"193",8,16,22.6,"missed",2.6,4,2,2,4.5
"194",23.1,1,6.1,"made",1.4,1,2,0,2.9
"195",20.6,2,8,"made",1.4,1,2,1,3.2
"196",16.1,3,20.6,"made",2.4,1,2,2,3.7
"197",20.6,4,5.8,"missed",3.6,1,2,3,7.5
"198",7.2,5,25.1,"missed",1,1,3,0,7.7
"199",0,6,42.9,"missed",2.1,2,3,3,3.1
"200",19.9,7,24.6,"made",2.7,3,3,2,4.6
"201",12,8,20.2,"made",1.1,3,2,0,6.3
"202",18,9,23.5,"made",2.6,3,2,3,4.2
"203",18.8,10,26.2,"missed",5.4,3,3,6,3.3
"204",15.6,11,25.8,"made",5.4,3,3,6,4.8
"205",19.4,12,28.5,"missed",1.1,3,3,0,5.1
"206",13,13,25.7,"missed",10.5,3,3,15,5
"207",19.8,14,11.3,"missed",2.8,3,2,3,3.4
"208",8,15,2.8,"missed",14.8,3,2,15,3
"209",18.3,16,6.4,"made",4.7,3,2,5,3.2
"210",6.5,1,3,"made",6.6,1,2,5,2.3
"211",14.6,2,2.3,"made",9.6,1,2,6,1.4
"212",11.7,3,1.9,"made",5.8,1,2,3,3.3
"213",17,4,6.1,"missed",7,1,2,6,3
"214",12.2,5,25.1,"missed",1.2,1,3,0,5.9
"215",18.7,6,6.7,"missed",4.6,1,2,4,5.1
"216",2,7,21.7,"made",8.7,2,2,7,5.6
"217",13.3,8,5.2,"made",6.3,2,2,5,5
"218",16.2,9,13.6,"missed",7.1,2,2,6,3.5
"219",12.9,10,11.9,"missed",4.7,2,2,2,3.7
"220",3.4,11,6.9,"made",5.8,2,2,4,2.1
"221",1.7,12,19.2,"missed",20.1,2,2,22,3.9
"222",16.2,13,18.8,"missed",6.8,3,2,8,2.6
"223",0,14,25.2,"missed",18.7,3,3,18,4
"224",16,15,0.5,"made",0.7,4,2,0,5.3
"225",3.3,16,19.3,"made",4.8,4,2,3,6.9
"226",14,17,14.7,"made",7.2,4,2,6,3.9
"227",10,18,29.4,"missed",13.3,4,3,14,6
"228",22.4,19,5.1,"made",3.6,4,2,2,9.8
"229",4.5,20,26.2,"missed",9.5,4,3,10,4.4
"230",22.1,21,8.4,"missed",1.9,4,2,3,2.2
"231",12.5,1,23,"missed",1.2,1,3,0,12.5
"232",9.3,2,1.4,"missed",2.9,1,2,2,2.1
"233",11.9,3,4.9,"made",0.4,1,2,0,6.1
"234",19.1,4,8.8,"missed",5.4,1,2,6,0.3
"235",5.3,5,8.5,"made",13.3,2,2,16,0.8
"236",15.8,6,5.8,"missed",3.5,2,2,3,2.2
"237",17.1,7,4.1,"made",6,2,2,5,3
"238",17.5,8,8.2,"made",6,2,2,5,0
"239",7,9,24.9,"made",1.3,2,3,0,7.3
"240",21,10,2.2,"made",0,2,2,0,3.9
"241",5,11,16.9,"made",5.9,2,2,2,4.1
"242",1.1,12,17.6,"missed",3,2,2,2,4.6
"243",3.9,13,19.9,"missed",6,3,2,2,3.1
"244",21.8,14,4.7,"made",0.8,3,2,0,7.5
"245",20.4,1,24.5,"made",1,1,3,0,6.7
"246",19,2,25.6,"missed",4.5,1,3,4,3.5
"247",17.4,3,5.2,"made",1,1,2,0,4.3
"248",11.5,4,21.6,"made",2.3,2,2,2,7.5
"249",19,5,5.8,"missed",4,2,2,3,3.9
"250",2.3,6,21.2,"missed",11.2,2,2,7,4.6
"251",14.7,7,4.9,"made",7.8,2,2,8,2.8
"252",19.8,8,6.6,"made",5.8,2,2,5,4.3
"253",17.9,9,24.2,"missed",0.9,2,2,0,5.3
"254",0,10,11.9,"missed",5.1,2,2,6,2.5
"255",9.1,11,20,"missed",2.7,3,2,0,4.3
"256",7.7,12,18.1,"missed",5.7,3,2,1,3.2
"257",18.4,13,24,"missed",5.3,4,2,6,7.8
"258",8.9,14,20.6,"missed",6.9,4,2,5,5
"259",10.3,15,24.8,"missed",14,4,3,16,5.1
"260",22,16,5.6,"made",2.9,4,2,3,2.2
"261",7.3,17,27.2,"missed",4.3,4,3,0,4.9
"262",15.9,1,6.5,"made",6.8,1,2,8,1.9
"263",16,2,7.4,"missed",6.4,1,2,7,3
"264",9.8,3,2.5,"missed",12.6,1,2,14,3.3
"265",18.4,4,3.3,"made",4.4,1,2,5,1.8
"266",18.2,5,2.5,"made",5.2,1,2,6,4.2
"267",2.4,6,32,"missed",1.5,1,3,0,4.5
"268",0,7,5.4,"made",19.7,1,2,15,2.4
"269",14.8,8,16,"made",6.7,2,2,5,4.3
"270",4.5,9,18.7,"missed",2.3,2,2,0,3.8
"271",8.4,10,15.1,"missed",8.5,2,2,2,4.1
"272",12.3,11,3.8,"made",6.6,2,2,1,1.6
"273",5.4,12,27.2,"made",1.1,2,3,0,4.7
"274",15.6,13,26.4,"missed",7.2,2,3,5,5.3
"275",8,14,4.6,"made",3.7,3,2,2,2.2
"276",0.8,15,24.3,"missed",22.1,3,3,20,4.5
"277",14.9,16,21.5,"made",9.1,3,2,8,5.4
"278",0,17,12.8,"missed",3.8,3,2,2,3.9
"279",17.1,18,25.1,"missed",5.1,4,3,4,10.4
"280",13.3,19,21.7,"made",2.2,4,2,2,7.2
"281",6.2,20,4.3,"made",12.4,4,2,9,3.7
"282",11.5,21,22.6,"made",5,4,3,3,5.6
"283",2.1,22,27.9,"made",3.3,4,3,2,3.9
"284",7.8,23,22.1,"made",3.9,4,2,2,3.9
"285",13.8,24,25.6,"missed",0.9,4,3,1,3.8
"286",12.3,25,16.6,"missed",9.3,4,2,2,2.9
"287",21.9,1,6.5,"made",2.4,1,2,0,11.8
"288",13.7,2,11.5,"missed",9.1,1,2,11,3.1
"289",14.5,3,23.8,"missed",5.7,1,3,0,5.4
"290",15.9,4,3.4,"missed",7.5,2,2,7,1.8
"291",9.9,5,1.7,"made",0.6,2,2,0,5.7
"292",12.7,6,15.9,"missed",1.7,3,2,1,4.5
"293",8.2,7,22.3,"missed",4.6,3,2,0,4
"294",20,8,25.5,"missed",2.6,3,3,2,6.6
"295",17.2,9,5.9,"made",3.2,3,2,4,3
"296",18.8,10,9.5,"missed",5.6,3,2,5,2.2
"297",12.1,11,18.4,"missed",12.1,3,2,13,4.1
"298",13.4,12,18.1,"made",5,3,2,1,4
"299",0,13,24.5,"made",3.7,3,3,5,10.2
"300",14.8,14,4.3,"made",8.8,4,2,9,3.2
"301",21,15,1.4,"made",4,4,2,2,3.9
"302",20.1,16,30.2,"missed",1.1,4,3,0,6.9
"303",10.7,1,4.1,"missed",1.8,1,2,2,1.8
"304",24,2,3.4,"made",1,1,2,0,2.1
"305",6.2,3,6.8,"missed",7.9,1,2,6,3.8
"306",10.8,4,7.7,"missed",6,1,2,5,0.9
"307",12.9,5,5.2,"missed",3.1,1,2,1,1.1
"308",11.8,6,6.7,"made",12.4,1,2,12,1.7
"309",17.4,7,4.2,"made",5.4,1,2,5,6
"310",5.1,8,4.8,"made",13.7,2,2,5,3.1
"311",19.9,9,5.5,"made",2.2,2,2,2,2.4
"312",12.9,10,23,"missed",0.8,2,3,0,6.8
"313",19,11,5.6,"made",5.8,2,2,7,2
"314",6.2,12,6.6,"missed",3.1,2,2,2,2.2
"315",20.5,13,3.4,"missed",1,2,2,0,2.8
"316",2,14,19,"made",4.2,2,2,0,4.9
"317",13.3,15,6.1,"made",11,3,2,10,3.2
"318",17.2,16,29,"missed",1.4,3,3,0,7.8
"319",16.7,17,12.7,"made",6.4,3,2,6,4.9
"320",14.7,18,16.3,"missed",8.9,3,2,9,3.6
"321",5.1,19,29.5,"missed",17.5,3,3,17,2.4
"322",9.1,20,27.8,"missed",0.9,4,3,0,6.4
"323",7,21,14.7,"missed",5.6,4,2,4,2.2
"324",22.2,22,5.5,"made",1,4,2,0,7.7
